證期會代碼,公司簡稱,分類代碼,分類名稱
04618P,亞東83,0999P,認售權證
04619P,富邦NT,0999P,認售權證
04620P,富邦NU,0999P,認售權證
04621P,富邦NV,0999P,認售權證
04622P,國票FZ,0999P,認售權證
04623P,元富KG,0999P,認售權證
04624P,元富KH,0999P,認售權證
04625P,元富KJ,0999P,認售權證
04626P,元富KK,0999P,認售權證
04627P,元富KL,0999P,認售權證
04628P,統一HM,0999P,認售權證
04629P,凱基DW,0999P,認售權證
04630P,國泰GB,0999P,認售權證
04631P,日盛J1,0999P,認售權證
04632P,日盛J2,0999P,認售權證
04633P,MZ永豐,0999P,認售權證
04634P,NA永豐,0999P,認售權證
04635P,NB永豐,0999P,認售權證
04636P,NC永豐,0999P,認售權證
04637P,中信8N,0999P,認售權證
04638P,亞東84,0999P,認售權證
04639P,DV元大,0999P,認售權證
04640P,DW元大,0999P,認售權證
04641P,DX元大,0999P,認售權證
04642P,DY元大,0999P,認售權證
04643P,DZ元大,0999P,認售權證
04644P,國票GA,0999P,認售權證
04645P,國票GB,0999P,認售權證
04646P,統一HV,0999P,認售權證
04647P,統一HW,0999P,認售權證
04648P,統一HX,0999P,認售權證
04649P,元富KV,0999P,認售權證
04650P,元富KW,0999P,認售權證
04651P,康和FF,0999P,認售權證
04652P,日盛J3,0999P,認售權證
04653P,凱基DX,0999P,認售權證
04654P,凱基DY,0999P,認售權證
04655P,中信8U,0999P,認售權證
04656P,中信8V,0999P,認售權證
04657P,富邦NZ,0999P,認售權證
04658P,ND永豐,0999P,認售權證
04659P,統一JA,0999P,認售權證
04660P,統一JB,0999P,認售權證
04661P,元富LD,0999P,認售權證
04662P,元富LE,0999P,認售權證
04663P,元富LF,0999P,認售權證
04664P,兆豐HR,0999P,認售權證
04665P,兆豐HS,0999P,認售權證
04666P,兆豐HT,0999P,認售權證
04667P,兆豐HU,0999P,認售權證
04668P,兆豐HV,0999P,認售權證
04669P,兆豐HW,0999P,認售權證
04670P,兆豐HX,0999P,認售權證
04671P,兆豐HY,0999P,認售權證
04672P,兆豐JA,0999P,認售權證
04673P,兆豐JB,0999P,認售權證
04674P,EG元大,0999P,認售權證
04675P,凱基EJ,0999P,認售權證
04676P,凱基EK,0999P,認售權證
04677P,凱基EL,0999P,認售權證
04678P,03富邦,0999P,認售權證
04679P,國票GJ,0999P,認售權證
04680P,元富LK,0999P,認售權證
