04871P,D2亞東
04872P,日盛Y1
04873P,日盛Y2
04874P,永豐76
04875P,永豐77
04876P,永豐78
04877P,永豐79
04878P,國票HD
04879P,元富1R
04880P,59富邦
04881P,日盛Y4
04882P,HT元大
04883P,HU元大
04884P,國泰GS
04885P,凱基HZ
04886P,凱基JD
04887P,凱基JF
04888P,凱基JG
04889P,群益BY
04890P,群益BZ
04891P,群益CE
04892P,群益CF
04893P,群益CG
04894P,群益CH
04895P,群益CI
04896P,統一LE
04897P,統一LF
04898P,元富1V
04899P,元富1W
04900P,兆豐MV
04901P,兆豐MW
04902P,兆豐MX
04903P,兆豐MY
04904P,兆豐MZ
04905P,兆豐NA
04906P,06中信
04907P,群益CN
04908P,群益CP
04909P,HV元大
04910P,康和FY
04911P,康和FZ
04912P,康和GA
04913P,康和GC
04914P,康和GD
04915P,元富1Z
04916P,元富2A
04917P,10中信
04918P,D5亞東
04919P,D6亞東
04920P,永豐95
04921P,永豐96
04922P,凱基JK
04923P,凱基JP
04924P,群益CR
04925P,群益CS
04926P,群益CV
04927P,群益CW
04928P,康和GF
04929P,IB元大
04930P,IC元大
04931P,群益CZ
04932P,群益DA
04933P,凱基JR
04934P,D7亞東
04935P,元富2F
04936P,元富2G
04937P,20中信
04938P,21中信
04939P,22中信
04940P,23中信
04941P,24中信
04942P,國泰GT
04943P,IG元大
04944P,IH元大
04945P,兆豐NN
04946P,兆豐NP
04947P,兆豐NQ
04948P,兆豐NR
04949P,日盛Z1
04950P,凱基JW
04951P,IP元大
04952P,IQ元大
04953P,IR元大
04954P,元富2M
04955P,元富2N
04956P,元富2P
04957P,69富邦
04958P,日盛Z3
04959P,日盛Z4
04960P,群益DE
04961P,群益DF
04962P,群益DG
04963P,群益DJ
04964P,群益DK
04965P,群益DL
04966P,IZ元大
04967P,JA元大
04968P,JB元大
04969P,JC元大
04970P,JD元大
04971P,國泰GU
04972P,康和GG
04973P,康和GH
04974P,元富2U
04975P,31中信
04976P,32中信
04977P,凱基JZ
04978P,凱基KA
04979P,E2亞東
04980P,E3亞東
04981P,國泰HA
04982P,國泰HB
04983P,凱基KC
04984P,凱基KD
04985P,凱基KE
04986P,35中信
04987P,36中信
04988P,元富2Z
04989P,日盛Z7
04990P,日盛Z8
04991P,永豐1P
04992P,E5亞東
04993P,E6亞東
04994P,77富邦
04995P,日盛AA
04996P,80富邦
04997P,群益DS
04998P,群益DT
04999P,永豐1T
05000P,永豐1U
05001P,工銀01
05002P,工銀06
05003P,工銀NZ
05004P,41中信
05005P,凱基KT
05006P,兆豐2E
05007P,兆豐2F
05008P,永豐1Z
05009P,永豐2A
05010P,國泰HH
05011P,國泰HJ
05012P,JU元大
05013P,統一MA
05014P,元富3J
05015P,元富3K
05016P,元富3L
05017P,元富3M
05018P,元富3N
05019P,元富3P
05020P,康和GK
05021P,康和GL
05022P,日盛AJ
05023P,日盛AL
05024P,KB元大
05025P,KC元大
05026P,群益DY
05027P,群益DZ
05028P,群益EE
05029P,群益EF
05030P,國票HT
05031P,國票HY
05032P,元富3V
05033P,元富3W
05034P,85富邦
05035P,86富邦
05036P,93富邦
05037P,94富邦
05038P,95富邦
05039P,KQ元大
05040P,KR元大
05041P,凱基LE
05042P,統一MF
05043P,康和GP
05044P,49中信
05045P,KS元大
05046P,國泰HN
05047P,國泰HP
05048P,凱基LC
05049P,凱基LD
05050P,兆豐2H
05051P,兆豐2J
05052P,群益EJ
05053P,群益EK
05054P,群益ET
05055P,群益EU
05056P,統一MJ
05057P,元富4C
05058P,KW元大
05059P,凱基LQ
05060P,康和GQ
05061P,99富邦
05062P,A1富邦
05063P,群益EY
05064P,群益EZ
05065P,群益FD
05066P,元富4H
05067P,凱基LT
05068P,KZ元大
05069P,LA元大
05070P,LB元大
05071P,LC元大
05072P,LD元大
05073P,群益FH
05074P,兆豐3C
05075P,兆豐3D
05076P,兆豐3E
05077P,兆豐3F
05078P,凱基LY
05079P,凱基LZ
05080P,凱基MF
05081P,統一MP
05082P,統一MQ
05083P,A2富邦
05084P,LP元大
05085P,工銀10
05086P,工銀11
05087P,永豐3E
05088P,永豐3F
05089P,永豐3G
05090P,康和GU
05091P,國票JC
05092P,國票JD
05093P,元富4U
05094P,元富4V
05095P,統一MU
05096P,G4亞東
05097P,G5亞東
05098P,A9富邦
05099P,B1富邦
05100P,65中信
05101P,66中信
05102P,兆豐3P
05103P,兆豐3Q
05104P,兆豐3R
05105P,群益FI
05106P,群益FJ
05107P,群益FM
05108P,統一NB
05109P,凱基ML
05110P,凱基MP
05111P,凱基MV
05112P,凱基MW
05113P,LU元大
05114P,B4富邦
05115P,73中信
05116P,元富5A
05117P,元富5B
05118P,元富5C
05119P,元富5D
05120P,元富5E
05121P,元富5F
05122P,元富5G
05123P,永豐3L
05124P,凱基NB
05125P,國泰JC
05126P,國泰JD
05127P,MB元大
05128P,日盛BK
05129P,國泰JF
05130P,國票JJ
05131P,國票JK
05132P,康和GX
05133P,元富5J
05134P,元富5K
05135P,凱基NJ
05136P,永豐3P
05137P,群益FW
05138P,群益FX
05139P,群益FY
05140P,群益FZ
05141P,統一NH
05142P,B6富邦
05143P,B7富邦
